geometry;hub;index_right;stop_id
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;32213;1377645
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;45623;364825
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;3847;362953
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;3848;362955
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;35187;419042
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;61265;stoparea:120755
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;12982;362954
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;5970;419043
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;10583;362957
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;27288;364821
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;5969;364822
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;35722;1440141
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;2134;1440181
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;56545;stoparea:2176
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;40110;1538969
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;47842;365497
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;47843;365499
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;53963;stoparea:121959
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;21754;63653
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;52740;stoparea:18110
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;1606;365498
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;22908;54106
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;39935;54108
POLYGON ((52.644051 5.051933000000001, 52.644051 5.05508533764, 52.64545200000001 5.05508533764, 52.64545200000001 5.051933000000001, 52.644051 5.051933000000001));14.05;21722;54107
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;14378;55255
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;14718;85473
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;52577;stoparea:17928
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;21756;859906
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;2154;15419
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;61921;stoparea:2725
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;27781;15655
POLYGON ((52.34444199999999 4.966296636580001, 52.34444199999999 4.968344, 52.346098 4.968344, 52.346098 4.966296636580001, 52.34444199999999 4.966296636580001));10.06;21799;55254
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;49614;54912
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;43626;54631
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;52802;stoparea:18177
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;25620;54911
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;42528;54910
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;63099;stoparea:161395
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;45874;511115
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;15654;14863
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;24167;54218
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;16278;54216
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;21443;54638
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;14877;54632
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;30131;54633
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;26071;54635
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;37479;359584
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;15655;14866
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;2168;14865
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;21863;14864
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;48375;14861
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;13529;14851
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;46180;1136391
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;30357;1134725
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;52009;stoparea:2872
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;40068;1538820
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;40151;1538737
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;50341;stoparea:299926
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;40074;1538816
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;16382;1538817
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;47434;1522995
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;59523;stoparea:121684
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;27894;14852
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;6235;1420256
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;1831;1134761
POLYGON ((52.38697199999999 4.834924371228502, 52.38697199999999 4.8415517392415, 52.389829 4.8415517392415, 52.389829 4.834924371228502, 52.38697199999999 4.834924371228502));10.02;24154;1378360
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;21750;54496
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;63368;stoparea:231492
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;52838;stoparea:18220
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;21126;1238877
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;35377;1420596
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;3252;1059134
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;52421;stoparea:122458
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;21127;1238781
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;14376;353639
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;29462;859870
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;14854;54983
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;43703;54498
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;13225;54502
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;21597;859800
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;14503;1531149
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;39375;1531148
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;39372;1531170
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;49967;1377603
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;30307;1377659
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;48047;1377602
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;60587;stoparea:123490
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;8409;1420643
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;8408;1377653
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;34662;1059129
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;39370;1531143
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;21836;54500
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;14462;54501
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;28630;54497
POLYGON ((52.386872 4.6362247, 52.386872 4.6408951, 52.3885485284 4.6408951, 52.3885485284 4.6362247, 52.386872 4.6362247));1.01;14440;54499
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;3760;358566
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;3761;356176
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;55852;stoparea:123146
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;21817;54607
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;39155;89042
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;14853;54605
POLYGON ((52.93241899999999 4.762844, 52.93241899999999 4.76484, 52.933503 4.76484, 52.933503 4.762844, 52.93241899999999 4.762844));15.05;52701;stoparea:18066
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;14386;55294
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;52589;stoparea:17941
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;3803;940122
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;23917;1533342
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;49681;419798
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;65606;stoparea:1396
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;27250;419796
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;8131;1355638
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;26462;221285
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;32172;563107
POLYGON ((52.6372443988625 4.739919721592602, 52.6372443988625 4.744305712227397, 52.6386125756375 4.744305712227397, 52.6386125756375 4.739919721592602, 52.6372443988625 4.739919721592602));13.09;37227;419799
