agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
Arriva;50;Leiden Centraal - Haarlem;Streekbus;1;5444;;;;50;Leiden - Warmond - Sassenheim - Lisse - Hillegom - Bennebroek - Heemstede - Haarlem;5444
GVB;55;Station Zuid - Amstelveen;Stadsbus;2;63197;"starts 29-06-20 but now cancelled; 67608";;;;;
Connexxion;56;Zaandam Station via Prins Bernhardbrug;Stadsbus;2;67276;now cancelled 21-06-20;;;;;
Arriva;57;Nieuw-Vennep via Noordwijkerhout - Leiden Centraal;Streekbus;1;42396;;;;;;
U-OV;58;Hilversum - Zeist;Streekbus;1;67117;U-OV reed t/m 2 januari 2021,  hierna Syntus;;;;;
Connexxion;59;Hilversum - Zeist;Streekbus;1;67118;Connexxion reed t/m 2 januari 2021,  hierna Syntus;;;;;
Connexxion;59;Beverwijk Station - Zaandam Station;Streekbus;1;1356;;;;59;Zaandam - Nauerna - Beverwijk;1356
GVB;61;Station Sloterdijk - Slotervaart;Stadsbus;2;429;;;;61;Station Sloterdijk - Geuzenveld - Osdorp - Slotervaart;429
GVB;62;Station Lelylaan - Amstelstation;Stadsbus;2;428;;;;62;Amstelstation - Rivierenbuurt - Station RAI - Buitenveldert - Haarlemmermeerstation - Station Lelylaan;428
GVB;63;Station Lelylaan - Osdorp De Aker;Stadsbus;2;427;;;;63;Station Lelylaan - Osdorp De Aker;427
Connexxion;64;Zaandijk Rooswijk - Zaandam Kogerveld;Streekbus;1;1153;;;;64;Kogerveld - ZMC - Station Zaandam - Koog aan de Zaan - Zaandijk;1153
Connexxion;65;Zaandam De Vlinder - Krommenie-Assendelft Station;Streekbus;1;30499;;;;65;Zaandam De Vlinder - Station - Koog aan de Zaan - Assendelft;30499
GVB;65;KNSM Eiland - Station Zuid;Stadsbus;2;461;;;;65;Station Zuid - Rivierenbuurt - Amstelstation - Watergraafsmeer - Indische Buurt - KNSM-Eiland;461
